run_name,st1_frequency_hz,st2_frequency_hz,st3_frequency_hz,mean_overlap_count,std_overlap_count,min_overlap_count,max_overlap_count,valid_trial_count,trial_indices_used,trial_overlap_counts,high_threshold_v,fixed_st_4_frequency_name,fixed_st_4_frequency_hz
st1_1_hz__st2_91_hz__st3_271_hz,1,91,271,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_301_hz,1,91,301,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_331_hz,1,91,331,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_361_hz,1,91,361,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_391_hz,1,91,391,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_421_hz,1,91,421,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_451_hz,1,91,451,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_481_hz,1,91,481,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_511_hz,1,91,511,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_541_hz,1,91,541,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_91_hz__st3_571_hz,1,91,571,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_1_hz,1,121,1,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_31_hz,1,121,31,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_61_hz,1,121,61,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_91_hz,1,121,91,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_121_hz,1,121,121,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_151_hz,1,121,151,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_181_hz,1,121,181,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_211_hz,1,121,211,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_241_hz,1,121,241,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_271_hz,1,121,271,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_301_hz,1,121,301,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_331_hz,1,121,331,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_361_hz,1,121,361,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_391_hz,1,121,391,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_421_hz,1,121,421,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_451_hz,1,121,451,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
st1_1_hz__st2_121_hz__st3_481_hz,1,121,481,0.0,0.0,0,0,5,1;2;3;4;5,0;0;0;0;0,0.9,1_hz,1
