time_s,i_I172_Iout_A,i_I56_Iout_A,v_vp_res_V,v_vpre1_res_V
0.0,-1.3657149799999999e-05,-1.3657149799999999e-05,0.0,0.0
0.001,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.003,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.007,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.015,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.031,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.051000000000000004,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.07100000000000001,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.0872986307,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.0872986307,-1.36571499e-05,-1.36571499e-05,0.0150083345,0.0
0.08729863090000001,-1.36571499e-05,-1.36571499e-05,0.0450250036,0.0
0.0872986312,-1.36571499e-05,-1.36571499e-05,0.1050583419,0.0
0.0872986319,-1.36571499e-05,-1.36571499e-05,0.2251250184,0.0
0.0872986325,-1.36571499e-05,-1.36571499e-05,0.32818246840000004,0.0
0.0872986328,-1.36571499e-05,-1.3657149799999999e-05,0.3861511232,0.0
0.08729863310000001,-1.36571499e-05,-1.3657149799999999e-05,0.44742691760000003,0.0
0.0872986334,-1.36571499e-05,-1.3657149799999999e-05,0.49706766160000004,0.0
0.0872986337,-1.36571499e-05,-1.3657150299999998e-05,0.5551800115,0.0
0.08729863400000001,-1.36571499e-05,-1.36572044e-05,0.5995304947,0.0
0.08729863410000001,-1.36571499e-05,-1.36572812e-05,0.6171697797000001,0.0
0.0872986342,-1.36571499e-05,-1.36574418e-05,0.6411866008,0.0
0.08729863430000001,-1.36571499e-05,-1.3657487599999998e-05,0.6477360243000001,0.0
0.08729863430000001,-1.36571499e-05,-1.36575795e-05,0.6608348713000001,0.0
0.08729863450000001,-1.36571499e-05,-1.3657762899999999e-05,0.6867798074,0.0
0.0872986347,-1.36571499e-05,-1.36580321e-05,0.72465229,0.0
0.0872986351,-1.36571499e-05,-1.3658595899999999e-05,0.8003972553,0.0
0.0872986358,-1.36571499e-05,-1.3660653299999999e-05,0.9259199899,0.0
