time_s,i_I172_Iout_A,i_I56_Iout_A,v_vp_res_V,v_vpre1_res_V
0.0,-1.3657149799999999e-05,-1.3657149799999999e-05,0.0,0.0
0.001,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.003,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.007,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.015,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.031,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.0508118761,-1.36571499e-05,-1.36571499e-05,0.0,0.0
0.0508118761,-1.36571499e-05,-1.36571499e-05,0.0,0.015008333300000001
0.0508118763,-1.36571499e-05,-1.36571499e-05,0.0,0.0450249999
0.0508118766,-1.36571499e-05,-1.36571499e-05,0.0,0.1050583333
0.0508118773,-1.36571499e-05,-1.36571499e-05,0.0,0.2251249999
0.0508118779,-1.36571499e-05,-1.36571499e-05,0.0,0.3281824836
0.0508118782,-1.3657149799999999e-05,-1.36571499e-05,0.0,0.38615111480000003
0.0508118785,-1.3657149799999999e-05,-1.36571499e-05,0.0,0.4474269379
0.0508118788,-1.3657149799999999e-05,-1.36571499e-05,0.0,0.49706768570000004
0.0508118791,-1.3657150299999998e-05,-1.36571499e-05,0.0,0.5551800344
0.0508118794,-1.36572044e-05,-1.36571499e-05,0.0,0.5995305176000001
0.050811879500000004,-1.36572812e-05,-1.36571499e-05,0.0,0.6171697927
0.0508118796,-1.36574418e-05,-1.36571499e-05,0.0,0.6411866099
0.0508118797,-1.3657487599999998e-05,-1.36571499e-05,0.0,0.6477360372000001
0.0508118797,-1.36575795e-05,-1.36571499e-05,0.0,0.6608348917
0.0508118799,-1.3657762899999999e-05,-1.36571499e-05,0.0,0.6867798554
0.050811880100000005,-1.36580321e-05,-1.36571499e-05,0.0,0.7246523867
0.0508118805,-1.3658595899999999e-05,-1.36571499e-05,0.0,0.8003974494
0.050811881200000006,-1.3660653299999999e-05,-1.36571499e-05,0.0,0.9259201554000001
0.0508118817,-1.36638695e-05,-1.36571499e-05,0.0,1.0208338
0.0508118824,-1.3668969299999999e-05,-1.36571499e-05,0.0,1.1384403
